rank,player_name,matched_user,match_type,occurrences
531,蜩翼,蜩翼,exact,10
532,麻薯有口臭,麻薯有口臭,exact,10
533,5k1,5k1,exact,10
534,多喝橙汁,多喝橙汁,exact,10
535,荷蛋,荷蛋,exact,10
536,佳荣同学,佳荣同学,exact,10
537,w.d.gaster,w.d.gaster,exact,10
538,luoxiao,luoxiao,exact,10
539,最终列车,最终列车,exact,10
540,royfrost,royfrost,exact,10
541,jzyqk,jzyqk,exact,10
542,hcyg,hcyg,exact,10
543,martin,martin,exact,10
544,厕所游泳,厕所游泳,exact,10
545,G.KM,g.km,case_insensitive,10
546,一灯,一灯,exact,10
547,dzk,dzk,exact,10
548,葱君,葱君,exact,10
549,张颦颦,张颦颦,exact,10
550,badwoman,badwoman,exact,10
551,哈哥,哈哥,exact,10
552,wmsnow,wmsnow,exact,10
553,wangda,wangda,exact,10
554,Winter.Violet,winter.violet,case_insensitive,10
555,wy,wy,exact,10
556,echo,echo,exact,10
557,pt,pt,exact,10
558,溯望,溯望,exact,10
559,w,乙木,alias,9
560,greymk,greymk,exact,9
561,fluorine999,fluorine999,exact,9
562,方方丸,方方丸,exact,9
563,euphonium,euphonium,exact,9
564,罗成,罗成,exact,9
565,麦克斯韦,麦克斯韦,exact,9
566,有点怪z,有点怪z,exact,9
567,dddzzz,dddzzz,exact,9
568,RAVEN,raven,case_insensitive,9
569,mmbk,mmbk,exact,9
570,3226075131,3226075131,exact,9
571,凉橙,凉橙,exact,9
572,Hying,hying,case_insensitive,9
573,vva,vva,exact,9
574,awaker,awaker,exact,9
575,roxyholmes,roxyholmes,exact,9
576,星落月3号机,星落月3号机,exact,9
577,啵啵宇宝宝,啵啵宇宝宝,exact,9
578,红高粱,红高粱,exact,9
579,anna831121,anna831121,exact,9
580,猪猪,猪猪,exact,9
581,szl271828,szl271828,exact,9
582,STOP,stop,case_insensitive,9
583,老王11,老王11,exact,9
584,马保国,马保国,exact,9
585,ffz36,ffz36,exact,9
586,easydog,easydog,exact,9
587,白金火大,白金火大,exact,9
588,guapi,guapi,exact,9
589,dill1234,dill1234,exact,9
590,qxl,qxl,exact,9
591,长理电气No1,长理电气no1,case_insensitive,9
592,仁者无敌,仁者无敌,exact,9
593,眼鏡,眼鏡,exact,9
594,我叼你妈,我叼你妈,exact,9
595,erpan,erpan,exact,8
596,pokerzzz,pokerzzz,exact,8
597,lzh,lzh,exact,8
598,灰庭彧,灰庭彧,exact,8
599,Raven,raven,case_insensitive,8
600,l1lfool,l1lfool,exact,8
601,flowersrwal,flowersrwal,exact,8
602,hanaseikai,hanaseikai,exact,8
603,waaaa,waaaa,exact,8
604,automuen,Automuen,case_insensitive,8
605,rubia,rubia,exact,8
606,huky,huky,exact,8
607,🐴,🐴r,alias,8
608,facadecc,facadecc,exact,8
609,derow,derow,exact,8
610,frankoscar,frankoscar,exact,8
611,yixiaoma,yixiaoma,exact,8
612,repeatingcat,repeatingcat,exact,8
613,奥本海默,奥本海默,exact,8
614,yiannis,yiannis,exact,8
615,鼠鼠寄了,鼠鼠寄了,exact,8
616,张正直,张正直,exact,8
617,歳月,歳月,exact,8
618,doffran,doffran,exact,8
619,Anubis,anubis,case_insensitive,8
620,巴卜,巴卜,exact,8
621,兔鱼,兔鱼,exact,8
622,fancyfun,fancyfun,exact,8
623,hydroate,hydroate,exact,8
624,bulez00,bulez00,exact,8
625,愚者,愚者,exact,8
626,绯夜,绯夜,exact,8
627,zombieyan,zombieyan,exact,8
628,gman,gman,exact,8
629,书山压力大,书山压力大,exact,8
630,hq163,hq163,exact,8
631,ma,ma,exact,8
632,idoit,idoit,exact,8
633,ZC,zc,case_insensitive,8
634,小熊猫猫猫,小熊猫猫猫,exact,8
635,光州资本,光州资本,exact,8
636,wings,wings,exact,8
637,lazy,lazy,exact,8
638,qfsm000,qfsm000,exact,8
639,美味假肢,美味假肢,exact,8
640,abutuoke,abutuoke,exact,8
641,zilong,zilong,exact,8
642,luu3na,luu3na,exact,8
643,罗德岛制药,罗德岛制药,exact,8
644,孙柏轩,孙柏轩,exact,8
645,goldenhorde,goldenhorde,exact,8
646,云翼想,云翼想,exact,8
647,栗子φ,栗子φ,exact,8
648,xiedu,xiedu,exact,8
649,wjy吴才,wjy吴才,exact,8
650,aaass1232,aaass1232,exact,8
651,luzi,luzi,exact,7
652,火鸡味锅巴,火鸡味锅巴,exact,7
653,齐柏林飞猪,齐柏林飞猪,exact,7
654,Ashland,ashland,case_insensitive,7
655,sking1234,sking1234,exact,7
656,北方提不起劲,北方提不起劲,exact,7
657,树鸣啸叶,树鸣啸叶,exact,7
658,litianping,litianping,exact,7
659,resfir,resfir,exact,7
660,yushanbao,yushanbao,exact,7
661,fangruoning,fangruoning,exact,7
662,jim,jim,exact,7
663,花火,花火,exact,7
664,火星原住民,火星原住民,exact,7
665,g_man,g_man,exact,7
666,白武男,白武男,exact,7
667,Cola96,cola96,case_insensitive,7
668,alley,alley,exact,7
669,毛毛,毛毛,exact,7
670,scp5637,scp5637,exact,7
671,在梦中,在梦中,exact,7
672,msiga,msiga,exact,7
673,帝星飘摇荧惑高,帝星飘摇荧惑高,exact,7
674,mmpdj,mmpdj,exact,7
675,院长,院长,exact,7
676,南宫澪,南宫澪,exact,7
677,林羽,林羽,exact,7
678,白金,白金,exact,7
679,dzl05,dzl05,exact,7
680,小0,小0,exact,7
681,roseallenzwt,roseallenzwt,exact,7
682,清水上,清水上,exact,7
683,eed,eed,exact,7
684,anomaly,anomaly,exact,7
685,abandom,abandom,exact,7
686,Newanderer,newanderer,case_insensitive,7
687,slyrak,slyrak,exact,7
688,chrissy,chrissy,exact,7
689,小涵,小涵,exact,7
690,颍川李氏,颍川李氏,exact,7
691,任易yee,任易yee,exact,7
692,moirae,moirae,exact,7
693,skyline,skyline,exact,7
694,---,---,exact,7
695,luckydice,luckydice,exact,7
696,zing,zing,exact,7
697,流雩,流雩,exact,7
698,Deemo98,deemo98,case_insensitive,7
699,落雨,落雨,exact,7
700,noorder,noorder,exact,6
701,spurs001,spurs001,exact,6
702,可乐猫,可乐猫,exact,6
703,suyiteng,suyiteng,exact,6
704,lxxbaba,lxxbaba,exact,6
705,jay zhu jin,jay zhu jin,exact,6
706,王七,王七,exact,6
707,早睡,早睡,exact,6
708,不消耗名字的硬币,不消耗名字的硬币,exact,6
709,殇山早行,殇山早行,exact,6
710,尘曦,尘曦,exact,6
711,王凯,王凯,exact,6
712,任永旺,任永旺,exact,6
713,yzxh,yzxh,exact,6
714,raven,raven,exact,6
715,wrzzqg,wrzzqg,exact,6
716,1h111,1h111,exact,6
717,Antares,antares,case_insensitive,6
718,muxiaqing,muxiaqing,exact,6
719,lxxmama,lxxmama,exact,6
720,danielhis,danielhis,exact,6
721,暮月,暮月,exact,6
722,mapliar,mapliar,exact,6
723,shallowvir,shallowvir,exact,6
724,nagasaki,nagasaki,exact,6
725,书罔闻,书罔闻,exact,6
726,zyk,zyk,exact,6
727,幽灵,幽灵,exact,6
728,lycoris,lycoris,exact,6
729,mjq,mjq,exact,6
730,cs1867,cs1867,exact,6
731,Razorzzz,razorzzz,case_insensitive,6
732,奶茶,奶茶,exact,6
733,llz,llz,exact,6
734,冰红茶真好喝,冰红茶真好喝,exact,6
735,blxg,blxg,exact,6
736,茵菓~,茵菓~,exact,6
737,Zhi,zhi,case_insensitive,6
738,牧羊人,牧羊人,exact,6
739,ddy,ddy,exact,6
740,万万,万万,exact,6
741,hamburger,hamburger,exact,6
742,xixu,xixu,exact,6
743,sukitayo,sukitayo,exact,6
744,teemomillion,teemomillion,exact,6
745,SJENKA,sjenka,case_insensitive,6
746,kaicheng,kaicheng,exact,6
747,比翼龙渊,比翼龙渊,exact,6
748,我超凶的,我超凶的,exact,6
749,yaoyaoya,yaoyaoya,exact,6
750,dabai530,dabai530,exact,6
751,mooncity2,mooncity2,exact,6
752,xuyan11,xuyan11,exact,6
753,hhn,hhn,exact,6
754,huckebein,huckebein,exact,6
755,funny,funny,exact,6
756,17826818782,17826818782,exact,6
757,hmway1991,hmway1991,exact,6
758,steamriki,steamriki,exact,6
759,苏世,苏世,exact,6
760,5ml,5ml,exact,6
761,一直,一直,exact,6
762,xin,xin,exact,6
763,pyt2002,pyt2002,exact,6
764,DDDZZZ,dddzzz,case_insensitive,6
765,EdwardE,edwarde,case_insensitive,6
766,baykin,baykin,exact,6
767,wsxiaohai,wsxiaohai,exact,6
768,Alaps,alaps,case_insensitive,6
769,瑞凤,瑞凤,exact,6
770,szh,szh,exact,6
771,懿梦,懿梦,exact,6
772,xscc,xscc,exact,6
