card_name,play_count_2p,total_weighted_x,count_weighted_x,weighted_avg_score_x,weighted_2p,play_count_4p,total_weighted_y,count_weighted_y,weighted_avg_score_y,weighted_4p,cn_name,cn_name_plot,wr_diff_2p,wr_diff_4p,total_diff
Astra Mechanica,652,873.0,652,1.3413897280966767,1.34,1666,3728.0,1666,2.2392601431980905,2.24,星械会,星械会,-0.15999999999999992,-0.2599999999999998,-0.4199999999999997
Atalanta Planitia Lab,813,1153.0,813,1.4191980558930741,1.42,1934,4528.0,1934,2.3420781893004117,2.34,亚特兰大实验室,亚特兰大实验室,-0.08000000000000007,-0.16000000000000014,-0.2400000000000002
Atmo Collectors,280,404.0,280,1.4448275862068964,1.44,614,1496.0,614,2.4375,2.44,大气收藏家,大气收藏家,-0.06000000000000005,-0.06000000000000005,-0.1200000000000001
Atmoscoop,607,832.0,607,1.372771474878444,1.37,1420,3109.0,1420,2.1916083916083915,2.19,大气束缚场,大气束缚场,-0.1299999999999999,-0.31000000000000005,-0.43999999999999995
Bactoviral Research,657,861.0,657,1.313343328335832,1.31,1354,2961.0,1354,2.189149560117302,2.19,细菌病毒研究,细菌病毒研究,-0.18999999999999995,-0.31000000000000005,-0.5
Banned Delegate,78,113.0,78,1.4545454545454546,1.45,262,605.0,262,2.3161764705882355,2.32,违法代表,违法代表,-0.050000000000000044,-0.18000000000000016,-0.2300000000000002
Battery Factory,168,227.0,168,1.3595505617977528,1.36,635,1502.0,635,2.3674418604651164,2.37,电池工厂,电池工厂,-0.1399999999999999,-0.1299999999999999,-0.2699999999999998
Beam From A Thorium Asteroid,377,522.0,377,1.3875968992248062,1.39,379,875.0,379,2.3136246786632393,2.31,钍行星射线,钍行星射线,-0.1100000000000001,-0.18999999999999995,-0.30000000000000004
Behemoth Excavator,17,23.0,17,1.4074074074074074,1.41,13,36.0,13,2.652173913043478,2.65,巨兽挖掘机,巨兽挖掘机,-0.09000000000000008,0.1499999999999999,0.05999999999999983
Behold The Emperor! (III),21,29.0,21,1.4193548387096775,1.42,73,159.0,73,2.216867469879518,2.22,Behold The Emperor! (III),Behold The Emperor! (III),-0.08000000000000007,-0.2799999999999998,-0.3599999999999999
Big Asteroid,494,688.0,494,1.3948412698412698,1.39,1280,2933.0,1280,2.2930232558139534,2.29,大型小行星,大型小行星,-0.1100000000000001,-0.20999999999999996,-0.32000000000000006
Bio Printing Facility,313,436.0,313,1.3962848297213621,1.4,459,1084.0,459,2.3646055437100215,2.36,生物打印设备,生物打印设备,-0.10000000000000009,-0.14000000000000012,-0.2400000000000002
Bio-Fertilizer Facility,474,657.0,474,1.3884297520661157,1.39,1518,3367.0,1518,2.2198952879581153,2.22,肥料工厂,肥料工厂,-0.1100000000000001,-0.2799999999999998,-0.3899999999999999
Bioengineering Enclosure,276,362.0,276,1.3181818181818181,1.32,609,1381.0,609,2.27140549273021,2.27,生物工程组件,生物工程组件,-0.17999999999999994,-0.22999999999999998,-0.4099999999999999
Biomass Combustors,169,241.0,169,1.4301675977653632,1.43,343,835.0,343,2.4362606232294617,2.44,生物量燃烧,生物量燃烧,-0.07000000000000006,-0.06000000000000005,-0.13000000000000012
Birds,359,502.0,359,1.4010840108401084,1.4,730,1623.0,730,2.227027027027027,2.23,鸟,鸟,-0.10000000000000009,-0.27,-0.3700000000000001
Black Polar Dust,196,267.0,196,1.3689320388349515,1.37,335,780.0,335,2.3333333333333335,2.33,黑色的极地尘埃,黑色的极地尘埃,-0.1299999999999999,-0.16999999999999993,-0.2999999999999998
Border Checkpoint,520,716.0,520,1.379245283018868,1.38,1193,2807.0,1193,2.3541147132169575,2.35,边境检查站,边境检查站,-0.1200000000000001,-0.1499999999999999,-0.27
Botanical Experience,281,386.0,281,1.3780068728522337,1.38,970,2306.0,970,2.3785714285714286,2.38,植物专业知识,植物专业知识,-0.1200000000000001,-0.1200000000000001,-0.2400000000000002
Breathing Filters,499,681.0,499,1.3673870333988212,1.37,1155,2727.0,1155,2.362231759656652,2.36,呼吸过滤器,呼吸过滤器,-0.1299999999999999,-0.14000000000000012,-0.27
Breeding Farms,257,345.0,257,1.348314606741573,1.35,578,1283.0,578,2.2244897959183674,2.22,养殖农场,养殖农场,-0.1499999999999999,-0.2799999999999998,-0.4299999999999997
Bribed Committee,403,563.0,403,1.3995157384987893,1.4,770,1936.0,770,2.514102564102564,2.51,贿赂委员会,贿赂委员会,-0.10000000000000009,0.009999999999999787,-0.0900000000000003
Building Industries,383,537.0,383,1.4045801526717556,1.4,528,1306.0,528,2.473977695167286,2.47,建筑行业,建筑行业,-0.10000000000000009,-0.029999999999999805,-0.1299999999999999
Bushes,425,592.0,425,1.3954022988505748,1.4,872,1906.0,872,2.189342403628118,2.19,花丛,花丛,-0.10000000000000009,-0.31000000000000005,-0.41000000000000014
Business Contacts,699,971.0,699,1.3906911142454161,1.39,1732,4092.0,1732,2.3633754305396097,2.36,商业合同,商业合同,-0.1100000000000001,-0.14000000000000012,-0.2500000000000002
Business Network,662,955.0,662,1.443452380952381,1.44,1396,3343.0,1396,2.395448079658606,2.4,商业网络,商业网络,-0.06000000000000005,-0.10000000000000009,-0.16000000000000014
Butterfly Effect,159,207.0,159,1.3136094674556213,1.31,435,993.0,435,2.2876404494382023,2.29,蝴蝶效应,蝴蝶效应,-0.18999999999999995,-0.20999999999999996,-0.3999999999999999
CEO's Favorite Project,452,628.0,452,1.3917748917748918,1.39,1233,2826.0,1233,2.2936444086886563,2.29,CEO最喜欢的项目,CEO最喜欢的项目,-0.1100000000000001,-0.20999999999999996,-0.32000000000000006
Callisto Penal Mines,509,703.0,509,1.3834296724470134,1.38,931,2251.0,931,2.418703506907545,2.42,木卫四开采法,木卫四开采法,-0.1200000000000001,-0.08000000000000007,-0.20000000000000018
Capital,138,198.0,138,1.4391891891891893,1.44,76,166.0,76,2.2209302325581395,2.22,首都,首都,-0.06000000000000005,-0.2799999999999998,-0.33999999999999986
Capital:ares,302,402.0,302,1.3365384615384615,1.34,825,1800.0,825,2.18562874251497,2.19,Capital:ares,Capital:ares,-0.15999999999999992,-0.31000000000000005,-0.47
Carbon Nanosystems,709,966.0,709,1.3643949930458972,1.36,1732,4041.0,1732,2.3340987370838118,2.33,碳纳米系统,碳纳米系统,-0.1399999999999999,-0.16999999999999993,-0.30999999999999983
Carbonate Processing,193,260.0,193,1.354679802955665,1.35,305,702.0,305,2.3079365079365077,2.31,碳酸盐处理,碳酸盐处理,-0.1499999999999999,-0.18999999999999995,-0.33999999999999986
Caretaker Contract,180,245.0,180,1.368421052631579,1.37,194,429.0,194,2.2254901960784315,2.23,监护合约,监护合约,-0.1299999999999999,-0.27,-0.3999999999999999
Cartel,620,858.0,620,1.3857142857142857,1.39,1017,2390.0,1017,2.3515092502434274,2.35,同业联盟,同业联盟,-0.1100000000000001,-0.1499999999999999,-0.26
Casinos,375,538.0,375,1.4363636363636363,1.44,491,1236.0,491,2.5169660678642716,2.52,赌场,赌场,-0.06000000000000005,0.020000000000000018,-0.040000000000000036
Cassini Station,257,344.0,257,1.344569288389513,1.34,730,1700.0,730,2.331081081081081,2.33,卡西尼太空站,卡西尼太空站,-0.15999999999999992,-0.16999999999999993,-0.32999999999999985
Cave City,15,23.0,15,1.52,1.52,10,19.0,10,2.2,2.2,洞穴城市,洞穴城市,0.020000000000000018,-0.2999999999999998,-0.2799999999999998
Ceres Spaceport,356,475.0,356,1.3387978142076502,1.34,930,2169.0,930,2.3340425531914892,2.33,谷神星太空港,谷神星太空港,-0.15999999999999992,-0.16999999999999993,-0.32999999999999985
Ceres Tech Market,615,846.0,615,1.3776,1.38,1638,3940.0,1638,2.4059466019417477,2.41,谷神星科技市场,谷神星科技市场,-0.1200000000000001,-0.08999999999999986,-0.20999999999999996
Charity Donation,368,512.0,368,1.3941798941798942,1.39,1362,3370.0,1362,2.4744897959183674,2.47,慈善捐款,慈善捐款,-0.1100000000000001,-0.029999999999999805,-0.1399999999999999
City Park,166,233.0,166,1.4090909090909092,1.41,386,797.0,386,2.0757575757575757,2.08,City Park,City Park,-0.09000000000000008,-0.41999999999999993,-0.51
City Parks,286,388.0,286,1.3614864864864864,1.36,423,849.0,423,2.0184757505773674,2.02,城市公园,城市公园,-0.1399999999999999,-0.48,-0.6199999999999999
Clone Technology,402,529.0,402,1.3203883495145632,1.32,933,1998.0,933,2.1452810180275717,2.15,克隆科技,克隆科技,-0.17999999999999994,-0.3500000000000001,-0.53
Clone Troopers (II),94,129.0,94,1.3846153846153846,1.38,322,727.0,322,2.2650602409638556,2.27,Clone Troopers (II),Clone Troopers (II),-0.1200000000000001,-0.22999999999999998,-0.3500000000000001
Cloud City (V),239,323.0,239,1.357429718875502,1.36,1164,2625.0,1164,2.2572402044293014,2.26,Cloud City (V),Cloud City (V),-0.1399999999999999,-0.2400000000000002,-0.3800000000000001
Cloud Seeding,199,261.0,199,1.3205741626794258,1.32,233,565.0,233,2.42798353909465,2.43,人工降雨,人工降雨,-0.17999999999999994,-0.06999999999999984,-0.24999999999999978
Cloud Tourism,653,904.0,653,1.3861236802413273,1.39,1370,3115.0,1370,2.2753623188405796,2.28,云端旅游,云端旅游,-0.1100000000000001,-0.2200000000000002,-0.3300000000000003
Colonial Envoys,58,81.0,58,1.411764705882353,1.41,372,827.0,372,2.230366492146597,2.23,殖民特使,殖民特使,-0.09000000000000008,-0.27,-0.3600000000000001
Colonial Representation,141,201.0,141,1.4304635761589404,1.43,591,1409.0,591,2.3860232945091515,2.39,殖民代表权,殖民代表权,-0.07000000000000006,-0.10999999999999988,-0.17999999999999994
Colonizer Training Camp,380,564.0,380,1.4846153846153847,1.48,980,2387.0,980,2.4363636363636365,2.44,开拓者训练营,开拓者训练营,-0.020000000000000018,-0.06000000000000005,-0.08000000000000007
Comet,421,587.0,421,1.396751740139211,1.4,908,2099.0,908,2.3137254901960786,2.31,彗星,彗星,-0.10000000000000009,-0.18999999999999995,-0.29000000000000004
Comet Aiming,127,177.0,127,1.4014598540145986,1.4,71,188.0,71,2.6296296296296298,2.63,彗星瞄准,彗星瞄准,-0.10000000000000009,0.1299999999999999,0.029999999999999805
Comet for Venus,455,628.0,455,1.3827956989247312,1.38,908,2166.0,908,2.386710239651416,2.39,飞向金星的彗星,飞向金星的彗星,-0.1200000000000001,-0.10999999999999988,-0.22999999999999998
Commercial District,142,199.0,142,1.4078947368421053,1.41,86,196.0,86,2.3020833333333335,2.3,商业区,商业区,-0.09000000000000008,-0.20000000000000018,-0.29000000000000026
Commercial District:ares,353,478.0,353,1.3581267217630855,1.36,897,2103.0,897,2.34619625137817,2.35,Commercial District:ares,Commercial District:ares,-0.1399999999999999,-0.1499999999999999,-0.2899999999999998
Communication Center,395,543.0,395,1.3777777777777778,1.38,633,1462.0,633,2.312597200622084,2.31,通讯中心,通讯中心,-0.1200000000000001,-0.18999999999999995,-0.31000000000000005
Community Services,249,343.0,249,1.3822393822393821,1.38,406,1001.0,406,2.4663461538461537,2.47,社区服务,社区服务,-0.1200000000000001,-0.029999999999999805,-0.1499999999999999
Community Worker,439,584.0,439,1.334075723830735,1.33,1299,3115.0,1299,2.39877769289534,2.4,社区工作者,社区工作者,-0.16999999999999993,-0.10000000000000009,-0.27
Conscription,632,903.0,632,1.4299065420560748,1.43,1539,3527.0,1539,2.2930923176242737,2.29,征兵,征兵,-0.07000000000000006,-0.20999999999999996,-0.28
Controlled Bloom,383,528.0,383,1.381679389312977,1.38,1343,2982.0,1343,2.222468588322247,2.22,爆破控制,爆破控制,-0.1200000000000001,-0.2799999999999998,-0.3999999999999999
Convoy From Europa,570,789.0,570,1.3862068965517242,1.39,1312,3124.0,1312,2.381996974281392,2.38,木卫二护航队,木卫二护航队,-0.1100000000000001,-0.1200000000000001,-0.2300000000000002
Coordinated Raid,201,277.0,201,1.3838862559241707,1.38,71,172.0,71,2.432098765432099,2.43,协调一致的空袭,协调一致的空袭,-0.1200000000000001,-0.06999999999999984,-0.18999999999999995
Copernicus Solar Arrays,119,162.0,119,1.372093023255814,1.37,427,1104.0,427,2.583524027459954,2.58,哥白尼太阳能电池,哥白尼太阳能电池,-0.1299999999999999,0.08000000000000007,-0.04999999999999982
Corona Extractor,573,793.0,573,1.385934819897084,1.39,965,2267.0,965,2.350769230769231,2.35,日冕提取器,日冕提取器,-0.1100000000000001,-0.1499999999999999,-0.26
Corporate Stronghold,323,450.0,323,1.3963963963963963,1.4,593,1404.0,593,2.369817578772803,2.37,公司据点,公司据点,-0.10000000000000009,-0.1299999999999999,-0.22999999999999998
Corroder Suits,596,825.0,596,1.386138613861386,1.39,1147,2719.0,1147,2.3716508210890233,2.37,防护服,防护服,-0.1100000000000001,-0.1299999999999999,-0.24
Cow,495,678.0,495,1.3722772277227724,1.37,1368,3178.0,1368,2.3243831640058055,2.32,奶牛,奶牛,-0.1299999999999999,-0.18000000000000016,-0.31000000000000005
Crash Site Cleanup,281,383.0,281,1.3676975945017182,1.37,950,2103.0,950,2.216666666666667,2.22,陨石坑清洁,陨石坑清洁,-0.1299999999999999,-0.2799999999999998,-0.4099999999999997
Crashlanding,67,81.0,67,1.2467532467532467,1.25,157,328.0,157,2.1137724550898205,2.11,紧急迫降,紧急迫降,-0.25,-0.3900000000000001,-0.6400000000000001
Cryo-Sleep,601,852.0,601,1.4189852700491,1.42,1213,2998.0,1213,2.471790678659035,2.47,低温睡眠,低温睡眠,-0.08000000000000007,-0.029999999999999805,-0.10999999999999988
Cryptocurrency,284,402.0,284,1.4183673469387754,1.42,592,1426.0,592,2.410299003322259,2.41,加密货币,加密货币,-0.08000000000000007,-0.08999999999999986,-0.16999999999999993
Cultivation of Venus,374,516.0,374,1.3828125,1.38,936,2049.0,936,2.192389006342495,2.19,金星育种,金星育种,-0.1200000000000001,-0.31000000000000005,-0.43000000000000016
Cultural Metropolis,127,192.0,127,1.510948905109489,1.51,680,1514.0,680,2.2304347826086954,2.23,多元化都市,多元化都市,0.010000000000000009,-0.27,-0.26
Cupola City,424,606.0,424,1.4308755760368663,1.43,752,1719.0,752,2.288713910761155,2.29,穹顶舱城市,穹顶舱城市,-0.07000000000000006,-0.20999999999999996,-0.28
Cutting Edge Technology,670,932.0,670,1.3926470588235293,1.39,1784,4194.0,1784,2.351727982162765,2.35,前沿科技,前沿科技,-0.1100000000000001,-0.1499999999999999,-0.26
Cyanobacteria,350,465.0,350,1.3333333333333333,1.33,1214,2681.0,1214,2.2107843137254903,2.21,蓝藻菌,蓝藻菌,-0.16999999999999993,-0.29000000000000004,-0.45999999999999996
Cyberia Systems,295,408.0,295,1.3868852459016394,1.39,307,770.0,307,2.5078864353312302,2.51,赛博利亚系统,赛博利亚系统,-0.1100000000000001,0.009999999999999787,-0.10000000000000031
Darkside Incubation Plant,55,85.0,55,1.5384615384615385,1.54,178,407.0,178,2.297872340425532,2.3,暗面孵化设施,暗面孵化设施,0.040000000000000036,-0.20000000000000018,-0.16000000000000014
Darkside Meteor Bombardment,74,103.0,74,1.4047619047619047,1.4,21,54.0,21,2.5483870967741935,2.55,暗面流星雨轰击,暗面流星雨轰击,-0.10000000000000009,0.04999999999999982,-0.050000000000000266
Darkside Mining Syndicate,71,98.0,71,1.3950617283950617,1.4,15,32.0,15,2.28,2.28,暗面矿业联盟,暗面矿业联盟,-0.10000000000000009,-0.2200000000000002,-0.3200000000000003
Darkside Observatory,133,174.0,133,1.3216783216783217,1.32,319,767.0,319,2.407294832826748,2.41,暗面天文台,暗面天文台,-0.17999999999999994,-0.08999999999999986,-0.2699999999999998
Darkside Smugglers' Union,65,88.0,65,1.3733333333333333,1.37,18,41.0,18,2.357142857142857,2.36,Darkside Smugglers' Union,Darkside Smugglers' Union,-0.1299999999999999,-0.14000000000000012,-0.27
Data Leak,205,276.0,205,1.3534883720930233,1.35,445,1006.0,445,2.265934065934066,2.27,数据泄露,数据泄露,-0.1499999999999999,-0.22999999999999998,-0.3799999999999999
Dawn City,576,809.0,576,1.4061433447098977,1.41,1227,2825.0,1227,2.3039611964430073,2.3,拂晓之城,拂晓之城,-0.09000000000000008,-0.20000000000000018,-0.29000000000000026
Declaration of Independence,15,22.0,15,1.48,1.48,47,85.0,47,1.9298245614035088,1.93,独立宣言,独立宣言,-0.020000000000000018,-0.5700000000000001,-0.5900000000000001
Decomposers,663,920.0,663,1.389301634472511,1.39,1708,3853.0,1708,2.2572759022118745,2.26,分解者,分解者,-0.1100000000000001,-0.2400000000000002,-0.3500000000000003
Deep Lunar Mining,62,87.0,62,1.4166666666666667,1.42,16,38.0,16,2.423076923076923,2.42,月球深度挖掘,月球深度挖掘,-0.08000000000000007,-0.08000000000000007,-0.16000000000000014
Deep Well Heating,482,685.0,482,1.4227642276422765,1.42,1016,2475.0,1016,2.4366471734892787,2.44,深井加热,深井加热,-0.08000000000000007,-0.06000000000000005,-0.14000000000000012
Deepmining,19,31.0,19,1.5862068965517242,1.59,13,32.0,13,2.4782608695652173,2.48,深层采矿,深层采矿,0.09000000000000008,-0.020000000000000018,0.07000000000000006
Deimos Down:ares,344,477.0,344,1.3898305084745763,1.39,1163,2552.0,1163,2.1969309462915603,2.2,Deimos Down:ares,Deimos Down:ares,-0.1100000000000001,-0.2999999999999998,-0.4099999999999999
Deimos Down:promo,120,161.0,120,1.353846153846154,1.35,117,270.0,117,2.322834645669291,2.32,Deimos Down:promo,Deimos Down:promo,-0.1499999999999999,-0.18000000000000016,-0.33000000000000007
Designed Microorganisms,301,441.0,301,1.4662379421221865,1.47,537,1326.0,537,2.469835466179159,2.47,创造微生物,创造微生物,-0.030000000000000027,-0.029999999999999805,-0.05999999999999983
Designed Organisms,396,518.0,396,1.312807881773399,1.31,1116,2364.0,1116,2.121669626998224,2.12,生物体设计,生物体设计,-0.18999999999999995,-0.3799999999999999,-0.5699999999999998
Desperate Measures,76,109.0,76,1.441860465116279,1.44,269,596.0,269,2.225806451612903,2.23,绝望措施,绝望措施,-0.06000000000000005,-0.27,-0.33000000000000007
Deuterium Export,564,795.0,564,1.411149825783972,1.41,1285,3056.0,1285,2.379150579150579,2.38,输出氘,输出氘,-0.09000000000000008,-0.1200000000000001,-0.2100000000000002
Development Center,634,887.0,634,1.4006211180124224,1.4,1172,2861.0,1172,2.4416243654822334,2.44,发展中心,发展中心,-0.10000000000000009,-0.06000000000000005,-0.16000000000000014
Diaspora Movement,126,177.0,126,1.411764705882353,1.41,1105,2418.0,1105,2.1910313901345293,2.19,大流散运动,大流散运动,-0.09000000000000008,-0.31000000000000005,-0.40000000000000013
Directed Heat Usage,497,681.0,497,1.3727810650887573,1.37,1183,2709.0,1183,2.291701592623638,2.29,热能定向利用,热能定向利用,-0.1299999999999999,-0.20999999999999996,-0.33999999999999986
Directed Impactors,133,183.0,133,1.3846153846153846,1.38,226,541.0,226,2.3983050847457625,2.4,定向冲撞器,定向冲撞器,-0.1200000000000001,-0.10000000000000009,-0.2200000000000002
Dirigibles,518,725.0,518,1.4015151515151516,1.4,1286,3050.0,1286,2.372685185185185,2.37,悬浮艇,悬浮艇,-0.10000000000000009,-0.1299999999999999,-0.22999999999999998
Diversity Support,289,398.0,289,1.3812709030100334,1.38,438,891.0,438,2.044642857142857,2.04,多样性扶持,多样性扶持,-0.1200000000000001,-0.45999999999999996,-0.5800000000000001
Domed Crater,326,462.0,326,1.4196428571428572,1.42,618,1407.0,618,2.2802547770700636,2.28,圆顶火山口,圆顶火山口,-0.08000000000000007,-0.2200000000000002,-0.30000000000000027
Dusk Laser Mining,681,945.0,681,1.3892908827785817,1.39,1549,3656.0,1549,2.3611289288005133,2.36,黄昏激光矿业,黄昏激光矿业,-0.1100000000000001,-0.14000000000000012,-0.2500000000000002
Dust Seals,201,301.0,201,1.4976303317535544,1.5,527,1275.0,527,2.4208566108007448,2.42,垃圾密封,垃圾密封,0.0,-0.08000000000000007,-0.08000000000000007
Dust Storm,146,209.0,146,1.435897435897436,1.44,616,1428.0,616,2.3210862619808306,2.32,沙尘暴,沙尘暴,-0.06000000000000005,-0.18000000000000016,-0.2400000000000002
